Размер конъюнкции,Время (ms)
283,416
271,236
271,206
166,122
261,378
164,122
129,871
290,365
138,91
135,79
311,506
129,766
129,806
272,325
129,648
160,95
129,735
150,118
164,102
138,77
179,170
135,99
274,367
276,187
303,325
129,702
282,265
146,110
140,146
129,761
129,696
176,164
129,711
164,132
268,362
129,708
164,117
290,242
128,687
264,238
129,700
281,311
164,138
87,95
166,141
116,73
117,64
222,171
273,349
210,175
129,620
86,73
129,858
306,325
138,88
116,58
129,745
129,688
164,108
129,690
128,649
138,82
126,72
164,97
129,615
135,79
272,273
135,73
188,105
129,646
132,123
138,105
161,137
160,121
183,132
301,214
164,122
129,1094
129,680
164,147
292,300
129,686
129,914
188,218
129,831
213,250
129,633
129,718
268,280
135,72
266,391
129,857
138,120
164,190
164,95
486,469
129,749
83,43
139,120
129,637
3,11
3,0
450,47
138,13
17,1
32,6
16,1
3,0
26,1
6,1
22,1
26,3
26,2
175,29
138,23
26,1
26,1
26,1
51,4
250,31
26,1
26,1
3,0
4,4
51,3
138,10
83,5
7,1
11,0
3,0
28,1
62,4
23,1
4,0
5,3
64,8
3,0
3,0
5,0
4,0
51,3
86,6
77,9
239,32
6,2
3,0
52,3
3,0
4,0
135,17
3,0
6,0
3,0
5,0
3,0
6,0
185,12
150,26
135,15
56,6
15,1
7,0
3,0
26,2
29,1
4,0
6,0
3,0
23,1
7,0
205,14
176,12
6,0
3,0
108,7
3,0
4,0
231,25
26,1
56,6
46,3
389,25
4,0
132,13
3,0
3,0
6,0
84,5
138,22
53,3
26,1
3,0
26,4
29,1
3,0
26,1
162,24
4,0
26,6
26,2
3,0
29,1
41,4
4,2
168,24
4,0
29,4
35,2
6,0
26,1
4,0
29,1
84,6
26,1
138,14
26,5
335,37
46,3
23,1
142,15
6,0
5,0
138,14
166,25
26,1
26,1
42,6
65,4
310,36
5,0
3,0
178,14
4,0
76,5
29,1
116,10
567,44
3,0
3,0
47,7
178,14
135,22
30,2
3,0
3,0
10,1
26,1
4,2
26,1
26,1
3,0
3,0
3,2
164,11
19,2
4,0
4,3
150,34
80,12
124,7
2,0
3,0
267,34
274,31
289,24
290,25
290,44
290,39
291,39
291,39
286,24
285,24
285,42
283,42
286,30
286,24
286,40
285,25
285,41
286,36
286,24
286,33
289,28
289,51
288,39
292,43
107,10
116,17
117,11
137,12
135,13
136,13
136,22
138,13
71,19
84,14
84,8
84,8
89,12
88,10
92,8
75,11
76,7
77,7
76,13
77,13
77,14
77,13
77,15
78,13
91,16
91,16
96,14
96,9
103,13
107,11
136,12
137,14
136,13
136,15
118,22
141,13
143,14
75,7
84,12
88,14
80,7
73,6
73,7
78,11
78,7
87,8
87,8
92,9
91,15
91,13
107,15
102,16
107,11
116,11
136,13
121,19
136,12
136,13
136,13
141,13
102,10
102,10
141,22
136,14
136,22
136,19
121,22
29,4
84,8
88,8
92,8
92,17
92,9
75,10
75,9
76,7
84,14
77,7
77,14
82,7
82,8
77,13
78,15
91,8
91,15
78,7
96,18
96,15
99,14
102,10
146,15
148,14
130,12
156,22
146,15
156,23
140,13
150,14
148,14
184,36
220,32
209,28
235,32
219,22
244,43
243,48
226,28
195,41
292,50
197,19
282,36
337,36
362,41
396,53
368,45
347,45
341,57
351,39
381,66
373,58
324,42
307,29
344,33
488,48
410,68
429,45
416,53
420,44
420,52
491,70
519,50
528,55
490,93
542,77
553,55
470,83
504,51
487,66
457,46
414,70
433,51
492,61
547,75
648,84
349,35
590,61
479,53
474,57
585,71
607,65
565,83
673,75
566,77
589,89
628,77
563,77
656,74
584,76
503,57
499,79
707,95
631,71
482,62
567,74
639,88
530,76
640,76
575,79
563,75
486,50
713,82
626,80
527,58
363,50
314,68
1180,142
1161,146
1244,161
1143,142
1131,138
1286,166
1158,143
1178,146
1238,161
1177,147
1302,172
1259,163
1268,162
1323,180
1208,149
1285,164
1309,173
1243,159
1334,191
1165,145
1326,180
1151,147
1281,162
1229,157
1285,160
1409,184
1266,169
1482,179
1341,165
1349,189
1417,196
1219,156
1415,195
1302,169
1491,188
1252,156
1278,156
1334,176
1427,191
1379,184
1313,167
1426,201
1349,189
1291,176
1263,158
1503,191
1459,201
1268,146
1244,138
1300,149
1433,179
1386,158
1341,160
1466,182
1456,183
1435,168
1550,209
1409,170
1472,192
1356,160
1396,164
1298,155
1437,169
1404,193
1355,167
1449,228
1414,178
1423,225
214,27
227,43
267,43
283,28
250,48
270,34
1185,158
1372,185
1500,194
1521,229
1474,209
1477,201
1408,217
1417,292
1406,277
1733,292
1900,470
1771,215
1785,223
1680,216
1353,174
1717,223
1794,206
1628,207
1915,223
1613,202
1855,264
1797,253
1372,197
1430,208
1545,193
1468,191
1686,225
1770,232
1496,182
1721,208
1602,197
1104,131
1891,216
1571,203
207,31
328,51
315,37
319,40
305,39
1393,168
1583,198
1486,193
304,165
282,87
272,78
301,104
211,1018
267,73
269,99
390,1218
396,1067
249,71

